category_name,category_reference,item_id,item_name,offer,old_price,price,quantity
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,8,Spaces Atrium 6 Pcs 434 GSM 100% Cotton Bath Towel Set (Mustard Yellow & Grey),57% OFF,"₹,1995","₹,849",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,4,Carnivore Seekh Kebab - Chicken,10% OFF,"₹,230","₹,207",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,4,Carnivore Seekh Kebab (Malai Cheese) - Chicken,10% OFF,"₹,260","₹,234",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,3,Pedigree Chicken & Vegetables Dry Food (Adult) - Free Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult),11% OFF,"₹,260","₹,230",1.2kg + 80gm
Beverages,https://grofers.com/cn/beverages/cid/12,6,Tata Premium Tea (Pouch),30% OFF,"₹,310","₹,217",1 kg
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,5,Britannia Toastea Premium Bake Rusk,12% OFF,"₹,40","₹,35",300 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,8,Orka Candy Beans Round Bean Bag Refill (White),37% OFF,"₹,399","₹,249",500 gm
Personal Care,https://grofers.com/cn/personal-care/cid/163,10,Godrej Protekt Masterchef's Handwash (Refill),44% OFF,"₹,115","₹,64",750 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,13,Tide Plus Extra Power Lemon & Mint Detergent Powder,8% OFF,"₹,94","₹,86",1 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,7,Himalaya Baby Powder,25% OFF,"₹,176","₹,132",400 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,23,Best Value Red Raw Peanuts,43% OFF,"₹,90","₹,51",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,13,Best Value Sabudana,25% OFF,"₹,70","₹,52",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,19,Large Round Brinjal (Bharta),0,0,"₹,20",1 unit (400-600 gm)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,9,Eurospa Elegance 2 Pcs 100% Cotton Hand Towel Set (Aqua),60% OFF,"₹,199","₹,79",1 unit
